start,end
0.770,0.800
1.400,1.410
1.860,1.880
2.090,2.110
2.130,2.140
2.240,2.280
2.430,2.470
2.570,2.590
4.220,4.240
6.280,6.300
6.550,6.570
6.620,6.650
6.800,6.820
8.260,8.330
8.410,8.430
8.560,8.600
8.700,8.730
9.510,9.530
9.730,9.760
10.910,10.940
11.370,11.390
12.680,12.730
12.800,12.810
13.260,13.280
14.100,14.140
14.280,14.300
14.470,14.510
14.670,14.700
14.720,14.750
14.760,14.780
14.820,14.860
14.900,14.930
14.970,14.980
15.050,15.100
15.110,15.160
15.200,15.220
15.430,15.460
15.680,15.690
15.810,15.830
15.920,15.940
16.590,16.610
16.630,16.640
16.870,16.920
17.970,17.990
18.010,18.030
18.430,18.460
20.300,20.320
20.430,20.450
21.080,21.100
21.310,21.330
21.620,21.640
22.540,22.570
22.620,22.660
22.950,22.990
26.140,26.170
26.180,26.190
27.180,27.190
27.580,27.610
28.290,28.320
28.360,28.450
28.500,28.560
28.570,28.650
28.740,28.770
28.800,28.830
28.870,28.900
28.980,28.990
30.270,30.310
30.680,30.720
31.180,31.240
31.290,31.320
31.370,31.400
31.510,31.590
31.610,31.640
31.720,31.770
31.920,32.000
33.560,33.570
34.910,34.930
34.990,35.010
37.060,37.090
37.100,37.130
38.080,38.100
38.160,38.210
38.240,38.320
38.330,38.390
38.460,38.480
38.500,38.540
38.580,38.650
38.670,38.700
38.720,38.750
38.800,38.830
38.850,38.880
38.910,38.940
38.980,39.000
39.180,39.200
39.240,39.270
39.370,39.410
39.590,39.610
39.620,39.640
39.660,39.680
39.800,39.820
40.020,40.040
40.410,40.430
42.650,42.670
44.190,44.210
44.330,44.350
46.560,46.580
46.900,46.930
47.290,47.320
47.330,47.360
47.430,47.450
47.480,47.510
47.540,47.570
47.650,47.690
47.750,47.790
47.800,47.810
48.290,48.310
48.810,48.830
49.160,49.190
50.290,50.310
51.270,51.290
51.700,51.720
51.900,51.910
52.070,52.100
52.130,52.140
52.200,52.280
52.300,52.350
52.370,52.420
52.440,52.720
52.760,52.800
52.880,52.930
52.960,53.000
53.020,53.330
56.220,56.240
56.570,56.590
57.760,57.780
58.460,58.490
62.580,62.590
64.610,64.630
65.050,65.070
66.340,66.350
66.630,66.650
66.720,66.740
66.980,66.990
67.570,67.590
70.060,70.070
70.140,70.210
70.720,70.760
71.150,71.200
71.250,71.300
72.530,72.550
74.100,74.120
77.970,77.980
78.160,78.190
78.500,78.520
78.860,78.880
79.870,79.880
80.640,80.660
80.700,80.710
81.290,81.310
81.920,81.950
82.390,82.410
82.500,82.520
83.370,83.390
83.460,83.480
86.210,86.230
86.250,86.270
86.950,86.970
87.200,87.230
87.350,87.380
87.640,87.650
87.900,87.920
88.170,88.190
88.240,88.270
89.430,89.440
89.640,89.670
91.290,91.310
91.370,91.380
92.010,92.040
92.600,92.610
94.870,94.890
94.910,94.930
94.980,95.010
95.060,95.110
95.180,95.200
95.240,95.270
95.320,95.340
95.520,95.540
96.030,96.050
97.230,97.250
97.260,97.290
97.690,97.710
102.460,102.480
102.570,102.590
103.900,103.910
104.070,104.080
104.190,104.220
104.320,104.360
104.420,104.460
104.580,104.620
104.670,104.710
104.840,104.870
105.050,105.120
105.360,105.390
105.580,105.620
105.680,105.720
105.820,105.850
105.890,105.960
105.980,106.000
106.210,106.240
106.550,106.570
107.990,108.000
113.170,113.180
113.860,113.880
115.070,115.090
115.130,115.150
116.020,116.030
116.420,116.440
116.990,117.010
117.040,117.050
122.000,122.020
122.040,122.070
122.930,122.960
123.520,123.530
126.370,126.390
127.410,127.430
127.930,127.950
128.610,128.640
130.050,130.060
130.880,130.900
131.370,131.400
135.690,135.710
136.200,136.240
136.360,136.380
136.470,136.480
136.580,136.600
137.640,137.660
138.720,138.750
139.340,139.350
139.490,139.510
140.250,140.260
140.810,140.830
142.580,142.590
142.810,142.840
143.500,143.530
144.380,144.400
147.110,147.130
147.220,147.240
147.430,147.460
147.630,147.670
147.730,147.760
147.820,147.850
148.060,148.070
148.140,148.210
148.720,148.760
149.150,149.200
149.250,149.300
150.810,150.830
152.970,152.990
158.350,158.380
159.630,159.660
159.720,159.730
159.900,159.930
160.030,160.060
160.830,160.860
160.930,160.960
162.140,162.170
162.280,162.290
162.870,162.890
163.190,163.200
163.670,163.680
164.370,164.400
164.690,164.720
165.060,165.070
166.610,166.630
167.090,167.110
167.930,167.950
169.060,169.070
171.080,171.100
172.370,172.410
172.420,172.460
172.470,172.530
172.660,172.720
172.870,172.920
173.120,173.140
174.310,174.330
179.000,179.020
179.100,179.110
179.910,179.930
181.220,181.240
183.060,183.080
183.370,183.390
184.140,184.160
184.280,184.300
184.550,184.580
184.680,184.700
184.870,184.900
185.060,185.080
185.320,185.350
185.780,185.810
186.070,186.110
186.160,186.190
186.340,186.420
186.580,186.590
186.980,186.990
187.190,187.210
187.400,187.430
187.650,187.690
190.030,190.050
190.100,190.120
192.130,192.140
194.030,194.060
194.710,194.760
194.960,195.000
195.120,195.150
195.780,195.800
196.060,196.070
196.640,196.660
197.150,197.170
199.510,199.530
201.070,201.090
202.790,202.820
202.940,202.960
203.020,203.040
206.970,207.000
207.920,207.950
209.850,209.880
210.190,210.210
213.600,213.610
221.220,221.270
221.800,221.820
225.110,225.150
226.410,226.430
233.730,233.760
233.770,233.800
234.470,234.480
235.170,235.190
236.040,236.060
236.270,236.300
238.690,238.710
242.220,242.240
245.380,245.390
247.870,247.910
248.940,248.960
250.490,250.510
250.890,250.920
250.950,250.990
251.030,251.040
251.100,251.110
251.120,251.140
251.150,251.170
251.250,251.340
251.370,251.400
251.530,251.560
251.920,251.930
253.610,253.640
254.160,254.170
255.020,255.070
255.090,255.130
255.280,255.320
255.370,255.410
255.470,255.490
255.500,255.510
255.570,255.610
255.620,255.660
256.160,256.180
257.400,257.420
259.290,259.310
260.040,260.080
260.160,260.170
261.400,261.420
261.670,261.690
262.860,262.880
263.140,263.160
263.230,263.240
264.230,264.260
264.290,264.320
264.350,264.370
264.380,264.410
264.450,264.470
264.500,264.540
264.570,264.590
264.610,264.650
264.750,264.770
264.790,264.800
264.960,265.000
265.030,265.050
265.180,265.220
265.550,265.570
266.520,266.560
266.790,266.800
267.100,267.130
267.230,267.250
267.330,267.360
267.410,267.430
267.680,267.700
267.780,267.830
267.860,267.960
269.130,269.150
269.460,269.470
269.980,269.990
270.010,270.020
271.150,271.170
271.450,271.460
271.680,271.690
272.360,272.400
272.600,272.630
273.640,273.660
274.570,274.590
274.700,274.730
274.870,274.900
275.120,275.160
276.150,276.160
276.210,276.220
276.830,276.860
278.000,278.120
278.140,278.190
278.230,278.270
278.320,278.350
278.360,278.400
278.420,278.470
278.500,278.570
278.870,278.900
280.550,280.580
281.460,281.480
283.890,283.910
284.160,284.180
286.370,286.380
286.770,286.780
287.430,287.450
287.630,287.650
287.700,287.720
287.750,287.770
287.830,287.840
288.700,288.720
288.780,288.800
288.830,288.850
288.860,288.880
288.980,288.990
289.030,289.040
289.120,289.160
289.170,289.190
289.210,289.230
289.300,289.320
292.210,292.230
293.220,293.250
296.120,296.160
296.940,296.980
297.020,297.060
297.210,297.230
298.340,298.380
298.610,298.630
299.090,299.110
301.540,301.560
301.860,301.890
302.580,302.600
303.120,303.140
307.360,307.380
307.860,307.870
308.870,308.880
308.980,309.000
309.390,309.410
309.480,309.520
309.870,309.890
310.140,310.200
310.350,310.390
310.500,310.520
310.620,310.670
310.990,311.010
311.200,311.220
312.720,312.750
312.810,312.830
313.270,313.310
314.110,314.120
315.180,315.210
316.070,316.090
316.540,316.570
316.610,316.660
316.860,316.870
317.040,317.100
317.200,317.230
317.300,317.340
317.610,317.620
317.720,317.740
317.790,317.830
317.860,317.880
320.620,320.630
321.250,321.260
321.850,321.870
327.110,327.130
329.700,329.710
329.830,329.860
330.290,330.310
331.040,331.050
332.800,332.830
333.970,333.990
338.400,338.420
340.720,340.750
340.810,340.830
341.270,341.310
342.120,342.140
342.360,342.380
342.600,342.620
342.880,342.900
343.470,343.490
343.520,343.550
346.030,346.120
346.150,346.170
346.180,346.390
346.400,346.420
346.440,346.520
346.530,346.660
346.770,346.820
346.840,346.940
346.950,347.000
347.040,347.070
347.170,347.190
347.210,347.280
347.290,347.370
347.400,347.440
347.570,347.660
347.840,347.890
347.970,348.000
348.500,348.530
348.990,349.020
349.370,349.390
349.780,349.820
351.810,351.830
353.160,353.190
353.410,353.430
353.680,353.710
356.890,356.920
356.990,357.040
357.070,357.120
357.240,357.280
357.330,357.370
357.400,357.420
358.590,358.610
359.490,359.510
360.690,360.710
360.770,360.800
361.040,361.070
361.350,361.370
361.460,361.490
361.810,361.820
363.210,363.240
363.900,363.930
365.230,365.250
365.280,365.290
367.490,367.510
368.340,368.370
368.460,368.490
368.680,368.710
368.820,368.840
368.870,368.900
368.910,368.930
368.970,368.980
